Produto;Marca;Index
Geleia de Acai 130g;Manioca;223
Geleia de Acai 130g  Lote 110820 Val 11/08/21;Manioca;224
Geleia de Cacau com Cumaru - 130g;Manioca;225
Geleia de Cacau com Cumaru - 130g  Lote 68035 Val 03/08/21;Manioca;226
Geleia de Cacau com Cumaru 500g;Manioca;227
Geleia de Cupuacu - 130g - Manioca;Manioca;228
Geleia de Jambu 130g;Manioca;229
Geleia de Jambu 130g - Manioca;Manioca;230
Geleia de Jambu 130g - Manioca  Val 19/10/21;Manioca;231
Geleia de Jambu 130g Lote: 65515 Val 29/01/21;Manioca;232
Geleia de Jambu 130g Lote: 68037 Val 19/08/21;Manioca;233
Geleia de Manga 130G;Manioca;234
Geleia de Manga 130G Lote: 68038 Val 05/08/21;Manioca;235
Geleia de Muruci 130G;Manioca;236
Geleia de Muruci 130G Lote: 140920 Val 14/09/21;Manioca;237
Geleia de Pimenta - 130g - Manioca;Manioca;238
Geleia de Pimenta 130g;Manioca;239
Geleia de Priprioca 130g;Manioca;240
Geleia de Priprioca 130g - Manioca;Manioca;241
Geleia de Priprioca 500g;Manioca;242
Geleia de Tapereba 130g;Manioca;243
Geleia de Tapereba 500g;Manioca;244
GELEIA MANGA 130G;Manioca;245
GELEIA MURUCI 130G;Manioca;246
Granola Tapioca 200g - Manioca;Manioca;247
Granola Tapioca 200g - Manioca Lote 280920 Val 28/09/21;Manioca;248
Granola Tapioca 200g - Manioca Lote 331 Val 28/09/21;Manioca;249
Granola Tapioca 50g;Manioca;250
Kit 3 Geleias - 40g - Manioca;Manioca;251
KIT 6 GELEIAS 40G;Manioca;252
Kit Segredos da Amazonia - Geleias 40g - Manioca;Manioca;253
Molho de Pimenta com Tucupi Preto - 60 ml - Manioca;Manioca;254
Molho de Pimenta Cumari com Chicoria - 60 ml - Manioca;Manioca;255
Molho de Pimenta Cumari com Tucupi - 60 ml - Manioca;Manioca;256
Molho de Tucupi Preto - 150g - Manioca;Manioca;257
Molho de Tucupi Preto 150ml;Manioca;258
Molho de Tucupi Preto 150ml Lote: 140920 Val 14/09/21;Manioca;259
Molho de Tucupi Preto 150ml Lote: 67145 Val 18/06/21;Manioca;260
Molho de Tucupi Preto 150ml Lote: 68047 Val 27/08/21;Manioca;261
MOLHO TUCUPI PRE 150;Manioca;262
Nibs de Cacau - 25 g - Manioca;Manioca;263
Pimenta Murupi Lote: 278 Val 09/21;Manioca;264
PRIPRIOCA 200g;Manioca;265
Puxuri - 15 g - Manioca;Manioca;266
PUXURI 100GR;Manioca;267
Semente de Cumaru - 20g - Manioca;Manioca;268
Tucupi amarelo - 300 ml - Manioca;Manioca;269
Tucupi Amarelo 1 L;Manioca;270
Tucupi Amarelo 1 LT;Manioca;271
Tucupi Amarelo 1L  - Manioca;Manioca;272
Tucupi Amarelo 1L  - Manioca Lote: 020720 Val 02/07/21;Manioca;273
Tucupi Amarelo 1L  - Manioca Lote: 68049 Val 09/07/21;Manioca;274
TUCUPI PRETO 40g;Manioca;275
