,ns1:natOp,Marca_x,Produto,ns1:uCom,Quantitade,Valor Unitario,ns1:vProd,Marca_y,Index
235,Venda de mercadorias,,Doce Organico de Umbu cremoso,und,4,"11,52","46,08",Coopercuc,30.0
236,Venda de mercadorias,,UMBU BOM ORGANICO 100G,UN,10,"6,48","64,8",Coopercuc,38.0
237,Venda de mercadorias,,Doce em massa de Umbu,UN,368,"1,73","636,64",Coopercuc,28.0
238,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,2,0,0,Manioca,258.0
239,Venda de mercadorias,,Doce de garfo de Cupuacu 130G,UN,3,"16,07","48,21",,
240,Venda de mercadorias,,Geleia de Acai 130g,UN,3,"16,07","48,21",Manioca,223.0
241,Venda de mercadorias,,Geleia de Jambu 130g,UN,3,"16,07","48,21",Manioca,229.0
242,Venda de mercadorias,,Geleia de Cacau com Cumaru - 130g,UN,3,"16,07","48,21",Manioca,225.0
243,Venda de mercadorias,,Doce em corte de Umbu Organico,und,6,"12,96","77,76",Coopercuc,27.0
244,Venda de mercadorias,,Chocolate Nakau 63% Cacau ao Leite de Coco com Castanha da Amazonia 5g,UN,60,"1,29","77,4",Nakau,303.0
245,Venda de mercadorias,,Chocolate Nakau 72% Cacau com Cupuacu 5g,UN,60,"1,29","77,4",Nakau,313.0
246,Venda de mercadorias,,Cafe Apui Organico,UN,18,"13,5",243,Café Apuí,17.0
247,Venda de mercadorias,,Guarana em Po Organico - 125g,UN,6,"24,3","145,8",Terramazonia,522.0
248,Venda de mercadorias,,Geleia de Manga 130G,UN,3,"12,5","37,5",Manioca,234.0
249,Venda de mercadorias,,Cafe Apui Organico,UN,1,18,18,Café Apuí,17.0
250,Venda de mercadorias,,Molho de Tucupi Preto 150ml,UN,1,27,27,Manioca,258.0
251,Venda de mercadorias,,KIT 6 Geleias 40g,UN,1,80,80,,
252,Venda de mercadorias,,Oleo Acai,litro,1,430,430,Oleicos,331.0
253,Venda de mercadorias,,Oleo de Castanha do Para,litro,2,"151,3","302,6",Oleicos,349.0
254,Venda de mercadorias,,Argila Verde,Kg,2,"119,65","239,3",,
255,Venda de mercadorias,,Argila Branca,Kg,3,"85,55","256,65",,
256,Venda de mercadorias,,Argila Vermelha,kg,2,"161,1","322,2",Oleicos,341.0
257,Venda de mercadorias,,Feijao Manteiguinha 500g,UN,14,"13,86","194,04",Manioca,218.0
258,Venda de mercadorias,,MEL DE ABELHA SEM FERRAO 150G,UN,20,"28,78","575,6",Peabiru,363.0
